Id,Label,Latitud,Longitud,tipo organizacion
1,serv_prot_PM,-41.471468,-72.9342907,Servicio
2,tribunal_familia,-41.8656764,-73.8283659,Judicial
3,municipalidad,-41.8682276,-73.8282001,Salud
4,hospital,-41.7708505,-73.1357609,Salud
5,estadio,-41.4916543,-72.9857258,Comunitario
6,cosam,-41.4711547,-72.9494484,Salud
7,municipalidad,-41.4719954,-72.9372033,Gobierno local
8,oln,-41.4704229,-72.9393374,Infancia
9,fiscalia/tribunal,-41.4631613,-72.9371685,Judicial
10,escuela,-41.4635514,-72.9214627,Educacion
11,carabineros,-41.4672596,-72.9433999,Seguridad
12,teleton,-41.4709774,-72.9246763,Privada
13,mall,-41.4727852,-72.9365611,Privada
14,humedal,-41.46309965,-72.90122166,Espacio
15,carretera_austral,-41.4904439,-72.885322,Espacio
16,parque_nacional_alerce,-41.5969309,-72.5998122,Espacio
17,comisaria,-41.3963651,-72.9050108,Seguridad
18,delegacion_municipal,-41.3992031,-72.9003175,Gobierno local
19,residencia,-41.4683247,-72.9099127,Programa
20,juzgado_familia,-41.4698769,-72.9178785,Judicial
21,AFT,-41.4721962,-72.9485371,Programa
22,AFT,-41.4604294,-72.9609681,Programa
23,PMA,-41.4797436,-72.9126572,Judicial
24,NAD,-41.4718401,-72.9406167,Judicial
25,residencia,-41.4632725,72.9243979,Programa
26,PEC,-41.4723803,-72.9505673,Programa
27,hospital,-41.4479273,-72.9569139,Salud
28,cine,-41.4423604,-72.9110455,Salud
29,oln,-41.3944498,-73.462124,Infancia
30,cesfam,-41.3987606,-73.4594139,Salud
31,comisaria,-41.3944298,-73.4674872,Seguridad
32,tribunal_familia,-41.3967764,-73.4607333,Judicial
33,carabineros,-41.6924413,-73.4461468,Seguridad
34,cesfam,-41.7480358,-73.7061073,Salud
35,oln,-41.6208685,-73.5954505,Infancia
36,municipalidad,-41.2565319,-73.0056137,Gobierno local
37,hospital,-41.2568245,-73.0101755,Salud
38,tribunal_familia,-41.3145326,-72.981783,Judicial
39,municipalidad,-41.3174871,-72.9845807,Gobierno local
40,plaza,-41.3178264,-72.9827918,Espacio
41,ficalia,-41.3139392,-72.9852321,Judicial
42,carabineros,-41.3163401,-72.9843021,Seguridad
43,mall,-41.3193054,-72.9857845,Privada
44,cesfam,-41.3292686,-72.9703626,Salud
45,playa_venado,-41.2581945,-72.8108485,Espacio
46,municipalidad,-41.1360258,-73.028019,Gobierno local
47,cesfam,-41.1294733,-73.0594588,Salud
48,slep,-41.1257252,-73.0582866,Educacion
49,cesfam,-41.7696929,-73.1293549,Salud
50,cecof,-41.7612325,-73.1559856,Salud
51,sernameg,-41.7683124,-73.1325685,Publico
52,carabineros,-41.7719082,-73.1276552,Seguridad
53,PDI,-41.4572814,-72.9291138,Seguridad
54,PAI,-41.4723427,-72.945191,Programa
55,UACh,-41.4916483,-72.8963207,Educacion
56,biblioteca,-41.4717099,-72.9385075,Publico
57,PIE,-41.4547847,-72.9378726,Programa
58,DCE,-41.4736484,-72.9455015,Programa
59,coanil,-41.4766579,-72.903562,Privada
60,PIE,-41.461917,-72.9309916,Programa
61,slep,-41.1257252,-73.0582866,Educacion
62,hospital,-41.330933,-72.9867165,Salud
